text1,text2,semantic_similarity_score
number new role created department including head comedy commissioning based glasgow m bennett said new role would benefit making programme within bbc well making show channel independently,unilever owns brand including dove soap said annual pre-tax profit fell 36 2.9bn euro £1.99bn company said main focus improving profit planning accelerate increase investment 400 main brand unilever said european sale fell 2.8 last year dragged part sale beverage division revenue dipped almost 4 sale ice cream frozen food dipped 3.4 u last year revenue grew 1.5 despite disappointing sale slimfast company said company also said planned spend 500m euro year buying back share,0.1298482
gerrard play european hope steven gerrard admitted liverpool little chance winning champion league season fighting fourth spot champion league next season still involved two cup competition important,fred hasson head tiga represents independent developer said uk firm would go due greater risk making new title said 150 independent developer left industry likely close mr hasson said industry predicting development cost team likely need double order cope demand new machine console get powerful content get detailed mean cost said gary dunn development director codemasters develops game house also publishes title mr hasson said game developer beginning realise business-like,0.20373976
pearce keen succeeding keegan joint assistant bos stuart pearce admitted would like succeed kevin keegan manager manchester city linked manager job oldham keegan stated would get way pearce wanted leave,phytopharm receive initial fee £6.5m unilever potential total £21m well future royalty product sale deal production hoodia cactus phytopharm nursery south africa also rise eight million plant potentially hundred million said phytopharm chief executive richard dixey,0.03123802
conservative backing id card tory back controversial government plan introduce id card source within conservative party told bbc michael howard always favour id card tried introduce home secretary lib dem home affair spokesman mark oaten said sign michael howard overruling colleague concern id card,buffy creator join wonder woman creator buffy vampire slayer take new female superhero signing write direct wonder woman movie one better joss adapt legendary wonder woman comic book character created 1940s dynamic feature film 21st century audience said silver whedon created character buffy screenplay 1992 film,-0.0084154215
playstation 3 processor unveiled cell processor drive sony playstation 3 run 10-times faster current pc chip designer said sony ibm toshiba working cell processor three year unveiled chip monday playstation 3 likely first mass-market product use cell chip designer said flexible architecture mean would useful wide range application server mobile phone ibm said cell o neutral would support multiple operating system simultaneously designer would confirm microsoft window among tested chip,search war hit desktop pc another front on-going battle microsoft google opened move answer google release search tool catalogue data desktop pc desktop search market becoming increasingly crowded google aol yahoo many smaller firm tout program help people find file john connors microsoft chief financial officer said test version desktop search software available download end year microsoft coming late desktop search arena software compare favourably program large number rival many fiercely dedicated population user 14 october google released desktop search software catalogue file pc let user use one tool find e-mail message spreadsheet text file presentation,0.15681084
podcasting diy radio form downloadable mp3 audio file real people saying real thing communicating say adam curry former mtv vj pied piper podcasting digital music player select podcasts like subscribe free show feed totally going kill business model radio think curry source people stuff podcasting way tell people care podcasting going medium niche audience measured single digit like e-mail blog curry associate ron bloom new venture called podshow help ordinary people produce post distribute market podcasts way podcasts work based r latest podcasts people select mean ready-made target look podcasting wow pretty interesting audience essentially say bass fishing podcast someone selling bait tackle probably want advertise show knighted add wry chuckle people going happy sit home make podcast make little money,apple work making thing easy use would also help mac mini win fan said apple hoping sale ipod halo effect sale mac said said mac mini changed perception apple traditionally done well market mac mini aimed said mr fogg also expected many pc maker release copycat device reaction said anyone wanting use mac mini peripheral old computer may find odd something small sleek next hulking monitor much likely pair mac mini lcd flat panel monitor increase upgrade cost said mac mini also fell short medium server video recorder well store digital music movie image people accumulate said mr fogg mac mini quite ready yet said release mac mini fit perfectly trend said,0.22237225
dozen held id fraud site twenty-eight people including briton arrested global operation website allegedly involved identity fraud arrested accused operating shadowcrew.com investigator claim global clearing house criminal involved credit card fraud 28 people detained globally suspected involved internet-based network stole people identity used computer website defraud credit card company website shared tip commit fraud provided forum people could buy information tool needed commit crime said,nice last week european commission announced networked electronic medium nem initiative commission want people able locate content desire delivered seamlessly move home work matter supply device network content content protection scheme identified many group defined form digital medium area nem encompasses many feel difficult challenging area commission identify solution different digital right management drm scheme,0.23399886
kennedy predicts bigger turnout voter pent passion could confound prediction low turnout coming general election charles kennedy said mr cook giving evidence power inquiry voter turnout rate told bbc radio 4 today programme fair blame public interested politics ever,van gogh festival film withdrawn murdered director theo van gogh controversial film submission pulled rotterdam film festival security fear two van gogh film shown planned including theatrical world premiere last feature 06/05,0.0998651
chancellor rally labour voter gordon brown issued rallying cry supporter warning stake high stay home protest vote next general election chancellor said poll expected fall 5 may would give clear fundamental choice labour investment tory cut laying conservative record government said give promise labour britain never return mistake erm 10 inflation 15 interest rate £3bn lost reserve 250 000 repossessed one million negative equity three million unemployed central dividing line election conservative party taking britain back planning deep cut £35bn service labour government taking britain forward platform stability reform renew hospital school public service proud say spend 2008 £60bn trumpeting labour management economy gordon brown record mixed said,microsoft set sight spyware window user could soon paying microsoft keep pc free spyware following takeover anti-spyware firm giant microsoft said would soon release toolkit strip machine irritating program survey show almost every window pc infested spyware program everything bombard user advert steal login data,0.09678846
almost 50 questioned said would trust search engine much le knew information paid result hidden tony macklin spokesman ask jeeves said result reflected research showed people use different search engine way site gather information mean provide different result query alongside growing sophistication net user lack awareness paid-for result many search engine provide alongside list website found indexing web said pew report finding ironic since nearly half user say would stop using search engine thought engine clear presented paid result,moore question captaincy brian moore belief england captain full-back former england captain moore told bbc full-backs far away action problem player around replace icon lost retirement injury requisite experience moore added,0.16538244
security warning fbi virus u federal bureau investigation warning computer virus spread via e-mail purport fbi attachment e-mail contains virus fbi said,earlier month mr glazer presented board detailed proposal offer buy football club statement club said would allow mr glazer limited due diligence give opportunity take proposal formal bid many manchester united supporter share club fan-based group shareholder united strongly opposed takeover mr glazer board responsibility consider bona fide offer proposal club said statement present mr glazer family hold 28.1 stake making manchester united second biggest shareholder,-0.00038028602
imf also reduce growth estimate 12-member eurozone economy 2.2 1.6 newspaper reported imf also revised eurozone forecast paper said taking account high oil price strength euro weak demand many world leading economy,incredibles win animation award incredibles movie beaten shrek 2 main prize hollywood animation award annies incredibles total 10 award shrek 2 seven nomination went home empty-handed,-0.039015602
boix-vives family thought spent past couple year sounding possible suitor rossignol also make golf equipment snowboard sport clothing,mr florin said 50 ea game sold adult played adult perception remained video game industry child ea said video game industry bigger music industry jan bolz ea vice president sale marketing europe said firm working give video game central role popular culture also said ea planning international award show similar oscar grammys would combine video game music movie mr bolz said video game firm work closely celebrity,0.15326688
organiser widely considered playing safe year booking 62-year-old sir paul second super bowl show three year ago invited perform first super bowl september 11 attack performed specially-written song freedom controversy last year saw cbs fined record 550 000 £292 000 federal regulator super bowl organiser turned producer mischer oversee year half-time show,stuart rose head said last year price high bringing range new price point compete mid-market retailer like next said brought quite lot new clothing new price point part stuart rose strategy quality style -and price said spokesman,0.08573253
double injury blow strike wale wale centre sonny parker number eight ryan jones miss saturday game italy injury meanwhile mike ruddock may make gavin henson first-choice kicker rome,steady job growth continues u u created fewer job expected december analyst said dip hiring enough derail world biggest economy job creation one last year main concern u economy unemployment rate stayed 5.4 december 200 000 job need created month figure drop,0.08812775
new foot mouth action urged senior tory mp criticised agriculture department defra lackadaisical approach planning future foot mouth outbreak national audit office said defra improved capacity deal future livestock disease outbreak four year outbreak defra yet begin planned review contractor cost £40m invoice remain unpaid mr leigh said,rico gear ran two black seven try predominantly second-string line-up baa-baas threaten scoring try albert van den bergh xavier rush andrea lo cicero never looked like winning marty holah got black onslaught way fifth-minute try rush hit back moment later jermoe keino piri weepu added try black tally final whistle van den bergh gained consolation baa-baas,0.06733398
mr brien said uk business sprinting forward ict use challenge ahead mr brien said increase proportion business connected broadband show uk company embracing opportunity ict bring,eminem secret gig venue revealed rapper eminem play intimate gig london saturday following show river thames friday eminem performed hm belfast friday docked river thames filmed two song bbc one top pop,0.12212963
john peel replacement show begin permanent replacement late dj john peel bbc radio 1 show go air tuesday three host chosen fill legendary presenter slot rock dj huw stephen go air 2300 slot every tuesday black music champion ra kwame wednesday dance dj rob da bank thursday radio 1 said station trying replace peel would rise challenge keeping legacy alive unpredictable music rob da bank one host blue room early morning weekend show play electronic dance music,phytopharm receive initial fee £6.5m unilever potential total £21m well future royalty product sale deal production hoodia cactus phytopharm nursery south africa also rise eight million plant potentially hundred million said phytopharm chief executive richard dixey,0.093541816
ukip spokesman mark croucher said selected mr houston knew nothing view mr croucher said main issue would mr houston reported view presented ukip policy peter nielson ukip scotland chairman said suspended mr houston friday night,men 60m former olympic 100m champion maurice greene could finish second leonard scott,-0.19515523
row brewing peer-to-peer ad music download network proving popular audience youngster keen take advantage free music advertiser equally keen reach captive audience paul myers chief executive wippit peer peer service provides paid-for music downloads belief time advertiser stopped providing oxygen company support illegal downloading may surprised know current advertiser popular peer peer service edonkey steadfastly support copyright theft real cash money include nat west vodafone o2 first direct ntl renault said open letter british phonographic industry last month bpi strongly belief reputable company look carefully support giving network advertising revenue said statement issue often complicated advertiser said mark mulligan music analyst jupiter research advertiser probably pay lot le putting ad respected site reaching perfect target audience said,prime minister chancellor faced backbench discontent monday meeting parliamentary labour party claim made journalist robert peston new book new book claim mr prescott hosted dinner november 2003 prime minister told mr brown would stand next election lost trust iraq war mr peston book mr brown alleged told prime minister nothing could ever say could ever believe,0.2011319
tory criticised lib dem stance saying mr oaten initially said accepted mr blunkett word unless evidence emerged lib dem official say mr oaten speaking inquiry way avoiding rushing judgement,government intends legislate parliamentary time allows lower age said mr leslie elected 1997 age 24. announcement mr leslie elected 1997 formerly safe tory seat prompted call lowering voting age 16. vote 16 alliance said good thing engage people lowering candidacy age argued lowering voting age would much effective,0.21757409
film studio lion gate entertainment announced initial list 12 movie umd format used handheld first saw machine started talking sony immediately decided going winner gaming perspective perspective people watching movie go mr beeks said,economy strong election year uk business set prosper next month could trigger interest rate rise according report uk looking strong going general election business need prepare jolt ahead bank england reacts growth inflationary pressure said peter hemington partner bdo stoy hayward,-0.009059578
eu aiming fuel development aid european union finance minister meet thursday discus proposal including tax jet fuel boost development aid poorer nation present fuel used airline enjoys either low tax rate untaxed eu member state tax would implemented full consultation airline eu said,anti-tremor mouse stop pc shake special adaptor help people hand tremor control computer mouse easily developed people hand tremor find hard use conventional mouse simple computer task erratic movement cursor screen three million briton sort hand tremor condition said uk national tremor foundation using computer mouse well known extremely hard people tremor delighted hear technology developed address problem said karen walsh uk national tremor foundation tremor often affect older people hit age,0.06575614
dj double act revamp chart show dj duo jk joel taking bbc radio 1 flagship chart show sunday adding showbiz news celebrity interview between-song banter radio 1 chart show institution remains station single popular show say jk also known jason king change involved ejecting previous host wes butter relocating king dj partner joel ross weekend afternoon radio 1 slot personally buy downloads rather cd single say 27-year-old ross premature people say single chart dead ross add,mr king said way properly combat so-called distributed denial-of-service attack intelligent net-based system many gambling site suffering ddos attack offshore data hosting centre large scale data flood could knock access many site one criminal targeting said mr king malcolm seagrave security expert energis said common type attack hit site 10 megabyte data short period time bigger attack sending 200 megabyte traffic rarely seen said far attack involving gigabyte data said mr seagrave maria capella spokeswoman net provider pipex said ddos attack height customer getting hit every four five day understanding genuine traffic keeping attack traffic going site said,0.18258493
mr blair told bbc control order would used limited circumstance critic opposition civil right activist worried home secretary power issue detention order government continuing insist control order must issued home secretary shami chakrabarti director civil liberty pressure group liberty said able issue control order main issue,several high-profile legal case file-sharers resolved year firm keen try make money p2p technology since first successful file-sharing network napster forced close entertainment industry nervous critical p2p technology blaming falling sale piracy music film industry started big legal case owner legitimate p2p network illegal individual accused distributing pirated content network slowly realised p2p good way distribute content said travis kalanick founder chairman p2p network red swoosh soon going want slice legal action resolved experimentation p2p happen said michael wei president streamcast network p2p net used share kind file like photo free software licensed music digital content many net user continue ignore entertainment industry potential controlling grip content p2p technology continuing use creation looking p2p future file sharing beginning p2p network far mr broes concerned,0.21864364
child access law shake-up planned parent refuse allow former partner contact child could electronically tagged plan considered minister curfew community service order option could used court order allow parental access defied lord falconer said plan include parenting plan give advice access arrangement based real-life example worked past extending in-court conciliation informal hearing contested court case better access legal emotional practical advice telephone internet legal aid change give incentive early resolution dispute would like see couple develop plan source court order know stand know minimum access said conservative government would bring radical reform family court well enforcing legal presumption co-parenting compulsory mediation,police probe bnp mosque leaflet police investigating british national party leaflet posted home south wale opposing plan new mosque swansea muslim community raising money open new mosque community centre former st andrew united reform church quite shocked see sort leaflet bnp swansea said andy richards swansea uaf said leaflet exactly come expect bnp,0.14867896
man city 0-2 man utd manchester united reduced chelsea premiership lead nine point scrappy victory manchester city wayne rooney met gary neville cross near post low shot went via deflection richard dunne put united ahead neville delivered cross carbon copy city best first-half chance rooney showed mcmanaman even needed help dunne leg 75 minute scored horrible goal attempting volley clear rooney cross united seemed home dry still four good chance two gone 2-0 one mcmanaman missed similar one wayne rooney scored man city james mill bradley wright-phillips 83 dunne distin thatcher shaun wright-phillips barton macken 68 sibierski mcmanaman musampa fowler man utd carroll gary neville ferdinand brown heinze shea ronaldo 33 keane fortune fletcher giggs 64 rooney scholes phil neville 84,nominated leave channel 4 show fellow housemate alongside happy monday dancer bez according bookmaker ladbrokes john mccririck 1/3 favourite evicted monday bez 9/4,0.1273886
apple ipod family expands market apple expanded ipod family release next generation digital music player latest challenge growing digital music gadget market include ipod mini model hold 6gb compared previous 4gb company hope keep dominant place digital music market also said gold coloured version mini would dropped original ipod took early lead digital music player market thanks large storage capacity simple design according mr mcguire research suggests people like idea building huge library music high-capacity storage device like ipod creative zen,moreno debut make oscar mark catalina sandino moreno joined rare group actress nominated oscar starring foreign language film,0.1323117
strong quarterly growth nike nike reported best second-quarter earnings helped strong demand athletic shoe converse sneaker philip knight chairman chief executive said nike second-quarter revenue earnings per share reached all-time high level result solid performance across global portfolio,lg card threatened collapse huge debt firm creditor former parent stepped rescue lg card need financial aid laah chong-gyu executive director korea development bank one firm creditor said,-0.0014337227
trend show gaming big-hitting game console title appeal hardcore gamers said panel expert casual game like poker pool bridge bingo puzzle-based title played online downloaded onto mobile device gender neutral different genre attracted different player hardcore gamers playing halo playing poker pool based research said geoff graber director yahoo game attracts 12 million gamers month key type title chance give people may see gamers dip game liked,said spam e-mail directing people site started circulating two day ago shortly domain name site registered m sander said dec contacted u net registrar handle domain ownership net hosting firm keeping site web m sander said sending spam e-mail solicit donation dec style would never canvas support way none e-mail address supplied site work real owner domain obscured publicly available net record,0.24832581
viewer able shape tv imagine editing titanic watch favourite bit cutting slushier moment star war leave bare bone action-fest new medium new millennium nm2 endgame development completely new medium genre allow audience create medium world based specific interest taste three-year project work seven production develops set software tool allow viewer edit content need moment interactive gaming limited form interactive tv usually mean allowing audience vote show also important tool sophisticated enough obey complex rule cinematography editing said john wyver tv producer illumination television limited also involved project,star pay tribute actor davis hollywood star including spike lee burt reynolds oscar nominee alan alda paid tribute actor ossie davis funeral new york veteran star ossie davis well-known civil right activist died miami age 87 4 february 2005. ossie hero still said aviator star alan alda family friend forty year,0.07232022
laser help bridge network gap indian telecommunication firm turned laser help overcome problem setting voice data network country 12 month laser helped firm set network 700 location laser bridge route data speed 1.25gbps 2 000 time faster 512kbps broadband connection tata running hardware modest speed 1-2mbps laser link also take far le time set get working said mr sridharan,labour attacked howard poster labour accused using anti-semitic image poster critic claim depict tory leader michael howard fagin mr howard comment anti-semitism claim asked poster monday jewish chronicle editor ned temko said mixed reaction first poster e-mail jewish chronicle reader showed deeper concern hypnotism image labour mp louise ellman said hypnotism image insensitive urged people rush call thing anti-semitic challenged tory economic policy,0.016595824
million buy mp3 player u one 10 adult american equivalent 22 million people owns mp3 player according survey study pew internet american life project found mp3 player gadget choice among affluent young american 22 million american mp3 player 59 men compared 41 woman,star pay tribute actor davis hollywood star including spike lee burt reynolds oscar nominee alan alda paid tribute actor ossie davis funeral new york veteran star ossie davis well-known civil right activist died miami age 87 4 february 2005. ossie hero still said aviator star alan alda family friend forty year,0.05300513
winter freeze keep oil 50 oil price carried rising wednesday cold weather side north atlantic pushed u crude price four-month high freezing temperature heavy snowfall took crude oil price past 50 barrel tuesday first time since november several opec member said tuesday cut production unlikely citing rising price strong demand oil asia,microsoft debut security tool microsoft releasing tool clean pc harbouring virus spyware virus-fighting program updated monthly precursor microsoft releasing dedicated anti-virus software although initially free thought soon microsoft charging user anti-spyware tool last year microsoft also released sp2 upgrade window xp closed many security loophole software made easier people manage anti-virus firewall program,0.009285089
dominated prime minister monthly news conference saw mr blair start full irritation mode forced bat away question question relationship neighbour arrange press conference last moment coincided mr brown long-arranged keynote speech aid debt asked mr blair moved irritation mode barely disguised fury setting far timing prime minister press conference concerned two option claimed embarrassed fact gordon brown appeared taken initiative government response disaster mr blair still holiday egypt fact used article guardian newspaper set believed manifesto embarked mini tour britain set aid plan next week visit africa mission often seen prime minister turf added impression rival camp operating entirely independently,tory reject rethink axed mp sacked mp howard flight local conservative association insisted candidate general election russell tanguay agent arundel south down tory said mr flight ineligible candidate association seeking substitute mr tanguay backed view tuesday saying howard flight ineligible stand conservative party candidate two local councillor back mr flight met mr tanguay local association chairman arundel tuesday afternoon comment left meeting mr flight say stand candidate unless local party instructs extraordinary general meeting egm,0.36913335
japan bank share link talk share sumitomo mitsui financial smfg daiwa security jumped amid speculation two japan biggest financial company merge smfg president yoshifumi nishikawa said company needed bolster business,respond produced detailed map example road network river village large-scale map useful general planning purpose said einar bjorgo unosat un satellite mapping organisation part respond consortium respond supply map aid group via web compact disc humanitarian group darfur making good use respond map respond rapid imaging allowed aid group find way around wadi allowing mark map road washed time,0.009260659
t-mobile bet pocket office t-mobile launched latest pocket office third-generation 3g device also built-in wi-fi high-speed wireless net access reflecting growing need connected outside office announced would introduce flat-fee £20 38 month wi-fi tariff people uk using wi-fi hotspot also announced installing high-speed wi-fi certain train service uk london brighton service provide commuter fast net connection said something similar in-train wi-fi service offered gner train offer yet,top gig award scissor sister new york band scissor sister gig year award performance year v festival award voted listener virgin radio compiled top 10 mostly dominated newcomer music scene year,0.07139339
olivier rochus beat third seed nicolas kiefer 6-7 4-7 7-6 8-6 7-5 take second seed joachim johansson,crude oil price back 50 cold weather across part united state much europe pushed u crude oil price 50 barrel first time almost three month several opec member said cut production unlikely citing rising price strong demand oil asia think need cut unless price falling 35 barrel added,0.11409638
broadband fuel online expression fast web access encouraging people express online research suggests demo report looked impact broadband people net habit according analyst nielsen//netratings 50 22.8 million uk net user regularly accessing web home month logging high speed spend twice long online people dial-up connection viewing average 1 444 page per month,security warning fbi virus u federal bureau investigation warning computer virus spread via e-mail purport fbi attachment e-mail contains virus fbi said,0.06042836
spam e-mail tempt net shopper computer user across world continue ignore security warning spam e-mail lured buying good report suggests research covered 6 000 people six country attitude towards junk e-mail revealed brazilian likely read spam third read unsolicited junk e-mail 66 buy good service receiving spam,submission also call decent wage training people working manufacturing sector,0.09824222
nintendo add medium playing d nintendo releasing adapter d handheld console play music video nintendo d successor hugely successful gameboy handheld game console went sale japan 2 december,eurovision great battle star eurovision song contest show 50-year history compete celebrate contest anniversary 50th anniversary special held denmark later year danish broadcasting corporation came idea all-time contest,0.18313822
el guerrouj target cross country double olympic champion hicham el guerrouj set make rare appearance world cross country championship france quite decided event compete prior london world cross country event also special definite possibility said two-time champion,rover assistant manager mark bowen said matt small operation trim knee cartilage rover assistant bos forecast longer time spell amoruso availability first-team duty,0.12239316
wilkinson lead england fly-half jonny wilkinson named england new rugby union captain three november test wilkinson scored 817 point 52 international kicked winning drop-goal final second extra-time england 2003 rugby world cup triumph australia honoured andy want captain follow lawrence martin mean lot inspirational men given much england rugby many year,rate went five time november 2003 bank sought cool housing market consumer debt remained unchanged since august rising interest rate accompanying slowdown housing market knocked consumer optimism causing sharp fall demand expensive good according report earlier week british retail consortium cbi chief economist ian mccafferty said economy slowed recent month response rate rise difficult gauge christmas period likely pace activity summer far evidence suggests last year rate increase helped rebalance economy without damaging recovery manufacturing said eef chief economist steve radley,0.017989263
film production fall 40 uk number british film produced uk fell 40 2004 movie starring johnny depp jude law among affected screen daily said uk film council said drop partly due 2003 especially good year british film production bridget jones edge reason wimbledon thunderbird filmed uk early predict whether downward trend uk production would continue throughout 2005 uk film council said,recession commonly defined two consecutive quarter negative growth although japanese government take factor account judging status economy japan economy grew 2.6 overall last year fuelled strong performance first month forecast see growth 2.1 2005. japan economy seen stretch moderate growth past decade periodically slipped back recession,0.2533569
surge led animated movie howl moving castle took 20bn yen £102m become biggest film japan 2004. last samurai starring tom cruise biggest foreign movie hit japan last year taking 13.8bn yen £70.7m,china continues breakneck growth china economy expanded breakneck 9.5 2004 faster predicted well 2003 9.1 china raised rate 0.27 percentage point 5.8 first hike nine year october 2004. despite apparent rebalancing economy overall growth picture remains strong economist said,0.23464447
tragedy left least 25 000 people dead sri lanka thailand india indonesia worst hit analyst said figure likely rise country tourist industry likely hardest hit malaysia said many 1 000 fisherman affected damage industry significant agence france presse reported three month rebuild 70 damage three worst hit province said juthamas siriwan governor tourism authority thailand,side hope reach negotiated deal state aid received european aircraft maker airbus u rival boeing mr mandelson said mr mandelson said eu u hoped avoid resolve dispute world trade organisation wto separately world largest package delivery company ups said placed order 10 airbus a380 superjumbo freight-carrying jet option buy 10 triple-decker aircraft,0.1482346
alfa romeo get gm engine fiat stop making six-cylinder petrol engine sporty alfa romeo subsidiary union italian carmaker said fiat yet comment matter union say new engine made gm australia,bond game fails shake stir gaming fan word goldeneye evokes excited memory james bond revival flick 1995 also classic shoot-em-up accompanied left n64 owner glued console many hour notion course add novel dark edge 007 game premise simply get juice flowing like need recent bond game like nightfire everything nothing competent fine job capturing sense flair invention glamour film franchise title lack aura bond magic shine feel like lucky accident given james bond healthy pedigree past game every reason hope blip commendable idea worked rectified character inevitably make return,0.1762046
bollywood draw global star british actress antonia bernath making debut kisna warrior poet marking growing trend non-indian star appear bollywood film directed bollywood veteran subhash ghai film set british raj bernath play army general daughter fall love rural boy kisna spurred bollywood producer trying go global aspect film-making technical artistic bollywood truly gone global say taran adarsh editor indian film journal trade guide another actress annabelle wallace play lead role bilingual romantic comedy dil jo bhi kahey whatever heart say also star indian screen legend amitabh bachchan,amicus executive due meet case although tgwu holding specially scheduled talk,0.085947715
isinbayeva 22 set 10 world record pole vault three come british soil,swap offer pirated window xp computer giant microsoft launched pilot scheme replace counterfeit version window xp legal one june software giant said major security update window xp service pack 2 would work widely pirated version operating system great opportunity user confirm authenticity window xp software whilst helping gather vital information illegal trader said alex hilton licence compliance manager microsoft,0.061807927
sullivan quick hail italian ireland coach eddie sullivan heaped praise italy seeing side stutter 28-17 victory rome hell tough game said sullivan first attack italian half 22 minute said sullivan,brazil jobless rate hit new low brazil unemployment rate fell lowest level three year december according government jobless rate average whole 2004 11.5 12.3 2003 ibge said,0.09672879
douglas set indian adventure actor michael douglas co-produce star adventure film diamond robbery set india shailendra singh founder india percept film said would lot india movie indian train would play big role,munich-based research institute ifo said confidence index fell 95.5 february 97.5 january first decline three month economy labour minister wolfgang clement called dip february ifo confidence figure mild decline analyst said ifo figure germany continuing problem may delay interest rate rise european central bank,-0.011591131
