text1,text2
"lions blow to world cup winners british and irish lions coach clive woodward says he is unlikely to select any players not involved in next year s rbs six nations championship.
but woodward added:  the key thing that i want to stress is that i intend to use the six nations and the players who are available to international rugby as the key benchmark.
and following the all blacks  impressive displays in europe in recent weeks  including a 45-6 humiliation of france  woodward believes the three-test series in new zealand will provide the ultimate rugby challenge.
as a result  woodward stressed his lions group might not be dominated by players from england and ireland and held out hope for the struggling scots.","protect whistleblowers  tuc says the government should change the law to give more protection to employees who raise health and safety concerns about their workplaces  the tuc has said.
the health and safety executive said it was trying to get workers more involved in helping to make workplaces safer.
the health and safety executive had said that it had launched an initiative to make factories and offices safer  with more worker involvement."
"speech takes on search engines a scottish firm is looking to attract web surfers with a search engine that reads out results.
called speegle  it has the look and feel of a normal search engine  with the added feature of being able to read out the results.
visitors to speegle may notice that the look and feel of the site bears more than a passing resemblance to the better known  if silent  search engine google.
google has no connection with speegle and the use of bright colours is simply to make the site more visible for those with visual impairments  said mr renton.",lennon brands rangers favourites celtic s neil lennon admits rangers could be considered  slight favourites  for the old firm cis cup clash  but insists his side can still win.
"a number of new roles are being created in each department  including a head of comedy commissioning based in glasgow.
ms bennett said the new roles would benefit those making programmes within the bbc as well as those making shows for the channel independently.","unilever  which owns brands including dove soap  said annual pre-tax profit fell 36% to 2.9bn euros (£1.99bn).
the company said its main focus will be on improving profits  and it is planning to accelerate and increase investment in its 400 main brands.
unilever said european sales fell 2.8% last year  dragged down by below part sales at its beverage division  where revenues dipped by almost 4%.
sales of ice cream and frozen food dipped by 3.4% in the us last year  revenue grew by 1.5%  despite disappointing sales in slimfast   the company said.
the company also said it planned to spend 500m euros this year buying back shares."
"gerrard plays down european hopes steven gerrard has admitted that liverpool have little chance of winning the champions league this season.
we re fighting for the fourth spot for the champions league for next season but we are still involved in two cup competitions  which are very important.","fred hasson  head of tiga  which represents independent developers  said that more uk firms would go under due to greater risks in making new titles.
he said there were about 150 independent developers left in the industry and more were likely to close.
mr hasson said the industry was predicting that developments costs and teams were likely to need to double in order to cope with the demands of the new machines.
as consoles get more powerful  the content gets more detailed and that means more cost   said gary dunn  development director at codemasters  which develops games in house and also publishes titles.
mr hasson said games developers were beginning to realise that they had to be more  business-like ."
"pearce keen on succeeding keegan joint assistant boss stuart pearce has admitted he would like to succeed kevin keegan as manager at manchester city.
he was linked with the manager s job at oldham and keegan has stated he would not get in the way if pearce wanted to leave.","phytopharm will receive an initial fee of £6.5m from unilever - out of a potential total of £21m - as well as future royalties on product sales.
under the deal  production of the hoodia cactus at phytopharm s nursery in south africa will also rise from eight million plants to potentially hundreds of millions  said phytopharm chief executive richard dixey."
"conservative backing for id cards the tories are to back controversial government plans to introduce id cards.
sources within the conservative party told the bbc michael howard has always been in favour of id cards  and tried to introduce them when he was home secretary.
lib dem home affairs spokesman mark oaten said:  this has all the signs of michael howard overruling colleagues  concerns over id cards.","buffy creator joins wonder woman the creator of buffy the vampire slayer is to take on a new female superhero after signing up to write and direct the wonder woman movie.
there s no one better than joss to adapt the legendary wonder woman comic book character created in the 1940s into a dynamic feature film for 21st century audiences   said silver.
whedon created the character of buffy in the screenplay for the 1992 film."
"playstation 3 processor unveiled the cell processor  which will drive sony s playstation 3  will run 10-times faster than current pc chips  its designers have said.
sony  ibm and toshiba  who have been working on the cell processor for three years  unveiled the chip on monday.
while the playstation 3 is likely to be the first mass-market product to use cell  the chip s designers have said the flexible architecture means that it would be useful for a wide range of applications  from servers to mobile phones.
ibm said cell was  os neutral  and would support multiple operating systems simultaneously but designers would not confirm if microsoft s windows was among those tested with the chip.","search wars hit desktop pcs another front in the on-going battle between microsoft and google is about to be opened.
the move is in answer to google s release of its own search tool that catalogues data on desktop pcs.
the desktop search market is becoming increasingly crowded as google  aol  yahoo and many smaller firms tout programs that help people find files.
john connors  microsoft s chief financial officer said a test version of its desktop search software should be available for download by the end of the year.
microsoft is coming late to the desktop search arena and its software will have to compare favourably with programs from a large number of rivals  many of which have fiercely dedicated populations of users.
on 14 october google released desktop search software that catalogues all the files on a pc and lets users use one tool to find e-mail messages  spreadsheets  text files and presentations."
"it is podcasting - diy radio in the form of downloadable mp3 audio files.
it s about real people saying real things and communicating   says adam curry  former mtv vj and the pied piper of podcasting.
those with digital music players can select which podcasts they like  and subscribe - for free - to that show s  feed .
it is totally going to kill the business model of radio   thinks curry.
we re the sources  the people doing stuff  and podcasting is a way to tell people who care what we re doing.
podcasting is going to be a medium of niches  with  audiences  measured in the single digits  like e-mail or blogs.
curry and associate ron bloom s new venture  called podshow  is to help ordinary people produce  post  distribute and market their podcasts.
because of the way podcasts work  based on rss  the latest podcasts which people can select mean that they are ready-made targets.
when you look at podcasting - wow this is a pretty interesting audience.
essentially  he says  if you are doing a bass fishing podcast  someone who is selling bait and tackle will probably want to advertise on your show.
i should be knighted for this   he adds  with a wry chuckle   people are going to be so happy to sit at home  make their podcast  and make a little money.","apple s work on making things easy to use would also help the mac mini win fans  he said.
apple has been hoping that sales of the ipod will have a halo effect on the sales of the mac   he said.
but  he said  the mac mini changed that perception.
apple has traditionally done well in the market that the mac mini is aimed at  said mr fogg  who also expected many pc makers to release copycat devices in reaction.
he said anyone wanting to use the mac mini with the peripherals from an old computer may find it odd to have something so small and sleek next to a hulking monitor.
they d be much more likely to pair a mac mini with a lcd or flat panel monitor which increases the upgrade cost   he said.
the mac mini also fell short of being a media server that can be a video recorder as well as a store for all the digital music  movies and images people accumulate  said mr fogg.
the mac mini is not quite ready for that yet   he said.
the release of the mac mini fit perfectly with this trend  he said."
"dozens held over id fraud site twenty-eight people  including a briton  have been arrested after a global operation against a website allegedly involved in identity fraud.
those arrested are accused of operating shadowcrew.com  which investigators claim was a global clearing house for criminals involved in credit card fraud.
all 28 people detained globally are suspected of being involved in an internet-based network which stole people s identities and used computers and websites to defraud credit card companies.
the websites shared tips on how to commit fraud and provided a forum by which people could buy the information and tools they needed to commit such crime  she said.","in nice last week  the european commission announced its networked & electronic media (nem) initiative.
the commission wants people to be able to locate the content they desire and have it delivered seamlessly  when on the move  at home or at work  no matter who supplies the devices  network  content  or content protection scheme.
they have identified that many groups have defined the forms of digital media in the areas that nem encompasses.
many feel that the most difficult and challenging area for the commission will be to identify a solution for different digital rights management (drm) schemes."
"kennedy predicts bigger turnout voters   pent up passion  could confound predictions of a low turnout in the coming general election  charles kennedy has said.
mr cook  who is giving evidence to the power inquiry into voter turnout rates  told bbc radio 4 s today programme it was not fair to blame the public who were  more interested in politics than ever before .","van gogh festival film withdrawn murdered director theo van gogh s controversial film submission has been pulled from the rotterdam film festival because of security fears.
two of van gogh s other films will be shown as planned  including the theatrical world premiere of his last feature 06/05."
"chancellor rallies labour voters gordon brown has issued a rallying cry to supporters  warning the  stakes are too high  to stay at home or protest vote in the next general election.
the chancellor said the poll - expected to fall on 5 may - would give a  clear and fundamental  choice between labour investment and tory cuts.
laying into the conservative s record in government he said:  i give you this promise - with labour  britain will never return to the mistakes of erm and 10% inflation  15% interest rates  £3bn in lost reserves  250 000 repossessed  one million in negative equity and three million unemployed.
this will be the central dividing line at the election  between a conservative party taking britain back and planning deep cuts of £35bn in our services  and a labour government taking britain forward  which on a platform of stability will reform and renew our hospitals  schools and public services and  i am proud to say  spend by 2008 £60bn more.
for all his trumpeting of labour s management of the economy  gordon brown s record is very mixed   he said.","microsoft sets sights on spyware windows users could soon be paying microsoft to keep pcs free of spyware.
following the takeover of anti-spyware firm giant  microsoft said it would soon release a toolkit that strips machines of the irritating programs.
surveys show that almost every windows pc is infested with spyware programs that do everything from bombard users with adverts to steal login data."
"almost 50% of those questioned said they would trust search engines much less  if they knew information about who paid for results was being hidden.
tony macklin  spokesman for ask jeeves  said the results reflected its own research which showed that people use different search engines because the way the sites gather information means they can provide different results for the same query.
alongside the growing sophistication of net users is a lack of awareness about paid-for results that many search engines provide alongside lists of websites found by indexing the web.
said the pew report:  this finding is ironic  since nearly half of all users say they would stop using search engines if they thought engines were not being clear about how they presented paid results.","moore questions captaincy brian moore believes the england captain should not be a full-back.
and former england captain moore told the bbc:  full-backs are too far away from the action.
the problem is the players that are around to replace the icons which have been lost because of retirement and injury don t have the requisite experience   moore added."
"security warning over  fbi virus  the us federal bureau of investigation is warning that a computer virus is being spread via e-mails that purport to be from the fbi.
an attachment in the e-mail contains the virus  the fbi said.","earlier this month  mr glazer presented the board with detailed proposals on an offer to buy the football club.
in a statement  the club said it would allow mr glazer  limited due diligence  to give him the opportunity to take the proposal on to a formal bid.
many of manchester united s supporters own shares in the club  and the fan-based group shareholders united is strongly opposed to any takeover by mr glazer.
any board has a responsibility to consider a bona fide offer proposal   the club said in its statement.
at present  mr glazer and his family hold a 28.1% stake  making them manchester united s second biggest shareholders."
"the imf will also reduce its growth estimate for the 12-member eurozone economy from 2.2% to 1.6%  the newspaper reported.
the imf has also revised eurozone forecasts  the paper said  taking into account high oil prices  the strength of the euro and weak demand in many of the world s leading economies.","incredibles win animation awards the incredibles movie has beaten shrek 2 to the main prizes at hollywood s animation awards  the annies.
the incredibles won a total of 10 awards - but shrek 2  which had seven nominations  went home empty-handed."
the boix-vives family is thought to have spent the past couple of years sounding out possible suitors for rossignol  which also makes golf equipment  snowboards and sports clothing.,"mr florin said that more than 50% of all ea s games were sold to adults and played by adults  but the perception remained that the video game industry was for children.
ea said the video game industry was now bigger than the music industry.
jan bolz  ea s vice president of sales and marketing in europe  said the firm was working to give video games a more central role in popular culture.
he also said ea was planning an international awards show  similar to the oscars and the grammys  which would combine video games  music and movies.
mr bolz said video games firm had to work more closely with celebrities."
"organisers were widely considered to be playing it safe this year by booking 62-year-old sir paul for his second super bowl show.
three years ago  he was invited to perform at the first super bowl after the september 11 attacks and performed his specially-written song freedom.
after the controversy last year - which saw cbs fined a record $550 000 (£292 000) by federal regulators - super bowl organisers had turned to producer don mischer to oversee this year s half-time show.","stuart rose  head of m&s  said last year its prices were too high.
we are bringing in ranges at new price points to compete against mid-market retailers like next   said m&s.
we have brought in quite a lot of new clothing at new price points as part of stuart rose s strategy of quality  style -and price   said the m&s spokesman."
"double injury blow strikes wales wales centre sonny parker and number eight ryan jones will miss saturday s game with italy because of injury.
meanwhile  mike ruddock may make gavin henson his first-choice kicker in rome.","steady job growth continues in us the us created fewer jobs than expected in december  but analysts said that the dip in hiring was not enough to derail the world s biggest economy.
job creation was one of last year s main concerns for the us economy.
the unemployment rate stayed at 5.4% in december  and about 200 000 jobs will need to be created each month if that figure is to drop."
"new foot and mouth action urged a senior tory mp has criticised agriculture department defra s  lackadaisical  approach to planning for a future foot and mouth outbreak.
the national audit office said defra had improved its capacity to deal with future livestock disease outbreaks.
four years after the outbreak  defra is yet to begin its planned review of some of its contractors  costs  and £40m of invoices remain unpaid   mr leigh said.","rico gear ran in two of the all blacks  seven tries in what was a predominantly second-string line-up.
the baa-baas did threaten  scoring tries through albert van den bergh  xavier rush and andrea lo cicero  but never looked like winning.
marty holah got the all blacks onslaught under way with his fifth-minute try before rush hit back moments later.
jermoe keino and piri weepu both added tries to the all blacks  tally before the final whistle  while van den bergh gained some consolation for the baa-baas."
"mr o brien said uk businesses were sprinting forward in ict use  but that there were more challenges ahead.
mr o brien said:  the increase in the proportion of business connected by broadband shows that uk companies are embracing the opportunities that ict can bring.","eminem secret gig venue revealed rapper eminem is to play an intimate gig in london on saturday  following a show on the river thames on friday.
eminem performed on hms belfast on friday  which is docked on the river thames  where he filmed two songs for bbc one s top of the pops."
"john peel replacement show begins the permanent replacement for late dj john peel s bbc radio 1 show goes on air on tuesday  with three hosts chosen to fill the legendary presenter s slot.
rock dj huw stephens will go on air in the 2300 slot every tuesday  with black music champion ras kwame on wednesdays and dance dj rob da bank on thursdays.
radio 1 said the station was not trying to replace peel  but would rise to the  challenge  of  keeping his legacy alive  with unpredictable music.
rob da bank is one of the hosts of the blue room  an early morning weekend show which plays electronic and dance music.","phytopharm will receive an initial fee of £6.5m from unilever - out of a potential total of £21m - as well as future royalties on product sales.
under the deal  production of the hoodia cactus at phytopharm s nursery in south africa will also rise from eight million plants to potentially hundreds of millions  said phytopharm chief executive richard dixey."
"ukip spokesman mark croucher said those who selected mr houston knew nothing of his views.
mr croucher said the main issue would be that mr houston s reported views had been presented as ukip policy  which they were not.
peter nielson  who is ukip scotland chairman  said he had suspended mr houston on friday night.",in the men s 60m  former olympic 100m champion maurice greene could only finish second to leonard scott.
"row brewing over peer-to-peer ads music download networks are proving popular not just with an audience of youngsters keen to take advantage of free music but with advertisers equally keen to reach out to a captive audience.
paul myers  chief executive of wippit - a peer to peer service which provides paid-for music downloads - believes it is time advertisers stopped providing  oxygen  for companies that support illegal downloading.
you may be surprised to know that current advertisers on the most popular peer to peer service edonkey who now steadfastly support copyright theft with real cash money include nat west  vodafone  o2  first direct  ntl  and renault   he said in an open letter to the british phonographic industry last month.
the bpi strongly believes that any reputable company should look carefully at the support they are giving these networks through their advertising revenue   it said in a statement.
but the issue is often more complicated for advertisers  said mark mulligan  a music analyst with jupiter research.
advertisers probably pay a lot less for putting ads here than on more respected sites and they are reaching the perfect target audience   he said.","the prime minister and chancellor faced backbench discontent at monday s meeting of the parliamentary labour party over claims made in journalist robert peston s new book.
the new book claims mr prescott hosted a dinner in november 2003 where the prime minister told mr brown he would stand down before the next election because he had lost trust over the iraq war.
in mr peston s book mr brown is alleged to have told the prime minister:  there is nothing you could ever say to me now that i could ever believe."
"the tories criticised the lib dem stance  saying mr oaten had initially said he accepted mr blunkett s word unless further evidence emerged.
but lib dem officials say mr oaten was speaking when an inquiry was under way and was avoiding rushing to judgement.","the government intends to legislate  when parliamentary time allows  to lower the age   said mr leslie  who was elected in 1997 at the age of 24.
the announcement from mr leslie - who was elected in 1997 in a formerly safe tory seat - prompted calls for a lowering of the voting age to 16.
the votes at 16 alliance said it was a good thing to  engage people  by lowering the candidacy age but argued lowering the voting age would be much more effective."
"film studio lions gate entertainment has announced an initial list of 12 movies that will be on the umd format used by the handheld.
when we first saw the machine and started talking to sony  we immediately decided it was going to be a winner  both from the gaming perspective and from the perspective of people watching movies on the go   mr beeks said.","economy  strong  in election year uk businesses are set to prosper during the next few months - but this could trigger more interest rate rises  according to a report.
the uk is looking strong going into the general election  but businesses need to prepare themselves for a jolt ahead as the bank of england reacts to growth and inflationary pressures   said peter hemington  partner at bdo stoy hayward."
"eu aiming to fuel development aid european union finance ministers meet on thursday to discuss proposals  including a tax on jet fuel  to boost development aid for poorer nations.
at present  the fuel used by airlines enjoys either a very low tax rate or is untaxed in eu member states.
any tax would only be implemented after full consultation with the airlines  the eu said.","anti-tremor mouse stops pc shakes a special adaptor that helps people with hand tremors control a computer mouse more easily has been developed.
people with hand tremors find it hard to use conventional mice for simple computer tasks because of the erratic movements of the cursor on the screen.
about three million britons have some sort of hand tremor condition  said the uk national tremor foundation.
using a computer mouse is well known for being extremely hard for people with tremors so we re delighted to hear that a technology has been developed to address this problem   said karen walsh  from the uk national tremor foundation.
tremors more often affect older people  but can hit all ages."
"dj double act revamp chart show dj duo jk and joel are taking over bbc radio 1 s flagship chart show on sunday  adding showbiz news  celebrity interviews and between-song banter.
radio 1 s chart show is an institution and remains the station s single most popular show   says jk  also known as jason king.
that change involved ejecting previous host wes butters and relocating king and dj partner joel ross from their weekend afternoon radio 1 slot.
i personally buy downloads rather than cd singles   says 27-year-old ross.
but it s premature for people to say that the singles chart is dead   ross adds.","mr king said the only way to properly combat these so-called distributed denial-of-service attacks was with intelligent net-based systems.
many of the gambling sites suffering ddos attacks are in offshore data and hosting centres  so any large scale data flood could knock out access to many more sites than just the one the criminals were targeting  said mr king.
malcolm seagrave  security expert at energis  said the most common types of attacks hit sites with 10 megabytes of data over short periods of time.
bigger attacks sending down 200 megabytes of traffic or more were rarely seen  he said.
so far there have been no attacks involving gigabytes of data  said mr seagrave.
maria capella  spokeswoman for net provider pipex  said that when ddos attacks were at their height  customers were getting hit every four to five days.
it s about understanding what s genuine traffic and keeping attack traffic from going to the site   she said."
"mr blair told the bbc the  control orders  would only be used in the most limited circumstances.
critics in the opposition and civil rights activists are worried that the home secretary will have the power to issue the detention orders.
but the government is continuing to insist that  control orders  must be issued by the home secretary.
shami chakrabarti  director of civil liberties pressure group liberty  said who was able to issue the control orders was not the main issue.","once several high-profile legal cases against file-sharers are resolved this year  firms will be very keen to try and make money from p2p technology.
since the first successful file-sharing network napster was forced to close down  the entertainment industry has been nervous and critical of p2p technology  blaming it for falling sales and piracy.
the music and film industries have started some big legal cases against owners of legitimate p2p networks - which are not illegal in themselves - and of individuals accused of distributing pirated content over networks.
but they have slowly realised that p2p is a good way to distribute content  said travis kalanick  founder and chairman of p2p network red swoosh  and soon they are all going to want a slice of it.
but  until the legal actions are resolved  experimentation with p2p cannot not happen  said michael weiss  president of streamcast networks.
p2p nets can be used to share any kind of file  like photos  free software  licensed music and any other digital content.
but many net users will continue to ignore the entertainment industry s potential controlling grip on content and p2p technology by continuing to use it for their own creations.
looking into p2p s future  file sharing is just the beginning for p2p networks  as far as mr broes is concerned."
"child access law shake-up planned parents who refuse to allow former partners contact with their children could be electronically tagged under plans being considered by ministers.
curfews and community service orders were other options which could be used if court orders to allow parental access were defied  lord falconer said.
other plans include:  - parenting plans to give advice on access arrangements  based on real-life examples that have worked in the past   - extending in-court conciliation - more informal hearings before contested court cases   - better access to legal  emotional and practical advice by telephone and internet   - legal aid changes to give incentives for early resolution of disputes.
we would like to see couples develop a plan and then have it as a source of a court order - then you know where you stand  you know what the minimum access is.
she said a conservative government would bring a  radical reform  of the family courts  as well as enforcing a  legal presumption of co-parenting and compulsory mediation .","police probe bnp mosque leaflet police are investigating a british national party leaflet posted to homes in south wales opposing plans for a new mosque.
swansea s muslim community is raising money to open a new mosque and community centre in the former st andrews united reform church.
i m quite shocked to see this sort of leaflet by the bnp in swansea   he said.
andy richards  of swansea uaf  said the leaflet was exactly what he had come to expect from the bnp."
"man city 0-2 man utd manchester united reduced chelsea s premiership lead to nine points after a scrappy victory over manchester city.
wayne rooney met gary neville s cross to the near post with a low shot  which went in via a deflection off richard dunne  to put united ahead.
and when neville delivered a cross in a carbon copy of city s best first-half chance  rooney showed mcmanaman how to do it - even if he needed the help of dunne s leg.
on 75 minutes  he scored a horrible own goal when attempting to volley clear rooney s cross and united seemed home and dry.
but we still had four good chances  two after we d gone 2-0 down  the one mcmanaman missed was very similar to the one wayne rooney scored from.
man city: james  mills (bradley wright-phillips 83)  dunne  distin  thatcher  shaun wright-phillips  barton (macken 68)  sibierski  mcmanaman  musampa  fowler.
man utd: carroll  gary neville  ferdinand  brown  heinze  o shea (ronaldo 33)  keane  fortune  fletcher (giggs 64)  rooney  scholes (phil neville 84).","he was nominated to leave the channel 4 show by fellow housemates  alongside happy mondays dancer bez.
according to bookmaker ladbrokes  john mccririck was 1/3 favourite to be evicted on monday while bez was at 9/4 ."
"apple ipod family expands market apple has expanded its ipod family with the release of its next generation of the digital music players.
its latest challenges to the growing digital music gadget market include an ipod mini model which can hold 6gb compared to a previous 4gb.
the company  which hopes to keep its dominant place in the digital music market  also said the gold coloured version of the mini would be dropped.
the original ipod took an early lead in the digital music player market thanks to its large storage capacity and simple design.
according to mr mcguire  research suggests that people like the idea of building up huge libraries of music  which they can do with high-capacity storage devices  like ipods and creative zens.",moreno debut makes oscar mark catalina sandino moreno has joined a rare group of actresses who have been nominated for an oscar for starring in a foreign language film.
"strong quarterly growth for nike nike has reported its best second-quarter earnings  helped by strong demand for its athletic shoes and converse sneakers.
philip knight  chairman and chief executive  said:  nike s second-quarter revenues and earnings per share reached all-time high levels as a result of solid performance across our global portfolio.","lg card had been threatened with collapse because of its huge debts but the firm s creditors and its former parent have stepped in to rescue it.
lg card will not need any more financial aid after this   laah chong-gyu  executive director of korea development bank - one of the firm s creditors - said."
"the trend shows that gaming is not just about big-hitting  games console titles  which appeal more to  hardcore  gamers  said a panel of experts.
casual games like poker  pool  bridge  bingo and puzzle-based titles  which can be played online or downloaded onto mobile devices  were  gender neutral  and different genres attracted different players.
when hardcore gamers are not playing halo  they are playing poker and pool  based on our research   said geoff graber  director of yahoo games  which attracts about 12 million gamers a month.
key to these types of titles is the chance they give people who may not see themselves as gamers to dip in and out of games when they liked.","she said the spam e-mails directing people to the site started circulating two days ago shortly after the domain name of the site was registered.
ms sanders said dec had contacted us net registrars who handle domain ownership and the net hosting firm that is keeping the site on the web.
ms sanders said sending out spam e-mail to solicit donations was not dec s style and that it would never canvass support in this way.
none of the e-mail addresses supplied on the site work and the real owner of the domain is obscured in publicly available net records."
"viewers to be able to shape tv imagine editing titanic down to watch just your favourite bits or cutting out the slushier moments of star wars to leave you with a bare bones action-fest.
new media for a new millennium (nm2) will have as its endgame the development of a completely new media genre  which will allow audiences to create their own media worlds based on their specific interests or tastes.
the three-year project will work on seven productions as it develops a set of software tools that will allow viewers to edit content to their needs.
at the moment we have interactive gaming and a limited form of interactive tv which usually means allowing audiences to vote on shows.
it will also be important that the tools are sophisticated enough to obey the complex rules of cinematography and editing said john wyver  from tv producer illuminations television limited  which is also involved in the project.","stars pay tribute to actor davis hollywood stars including spike lee  burt reynolds and oscar nominee alan alda have paid tribute to actor ossie davis at a funeral in new york.
veteran star ossie davis  a well-known civil rights activist  died in miami at the age of 87 on 4 february 2005.
ossie was my hero  and he still is   said aviator star alan alda  a family friend for over forty years."
